AtomicNumber,AtomicMass
1,1.008
2,4.0026
3,6.94
4,9.0122
5,10.81
6,12.011
7,14.007
8,15.999
9,18.998
10,20.180
11,22.990
12,24.305
13,26.982
14,28.085
15,30.974
16,32.06
17,35.45
18,39.948
19,39.098
20,40.078
21,44.956
22,47.867
23,50.942
24,51.996
25,54.938
26,55.845
27,58.933
28,58.693
29,63.546
30,65.38
31,69.723
32,72.630
33,74.922
34,78.971
35,79.904
36,83.798
37,85.468
38,87.62
39,88.906
40,91.224
41,92.906
42,95.95
43,98.0
44,101.07
45,102.91
46,106.42
47,107.87
48,112.41
49,114.82
50,118.71
51,121.76
52,127.60
53,126.90
54,131.29
55,132.91
56,137.33
57,138.91
58,140.12
59,140.91
60,144.24
61,145.0
62,150.36
63,151.96
64,157.25
65,158.93
66,162.50
67,164.93
68,167.26
69,168.93
70,173.04
71,174.97
72,178.49
73,180.95
74,183.84
75,186.21
76,190.23
77,192.22
78,195.08
79,196.97
80,200.59
81,204.38
82,207.2
83,208.98
84,209.0
85,210.0
86,222.0
87,223.0
88,226.0
89,227.0
90,232.04
91,231.04
92,238.03
93,237.0
94,244.0
95,243.0
96,247.0
97,247.0
98,251.0
99,252.0
100,257.0
101,258.0
102,259.0
103,262.0
104,267.0
105,270.0
106,271.0
107,270.0
108,277.0
109,278.0
110,281.0
111,282.0
112,285.0
113,286.0
114,289.0
115,290.0
116,293.0
117,294.0
118,294.0
